From,To,Length
1,2,0.826160654
1,3,0.647395092
1,4,0.833904323
1,5,0.759574816
1,6,0.805884887
1,7,0.704575227
1,8,0.868178311
1,9,0.70103992
1,10,0.730909872
1,11,0.625079937
1,12,0.862106565
1,13,0.855231817
1,14,0.835509946
1,15,0.842580572
1,16,0.706624019
1,17,0.814724537
1,18,0.771016075
1,19,-0.221154248
1,20,-0.108842015
1,21,0.448793419
1,22,-0.329974662
1,23,-0.235474847
1,24,-0.18649672
2,1,0.826160654
2,3,0.734115568
2,4,0.701470608
2,5,0.839128891
2,6,0.869519155
2,7,0.774571121
2,8,0.887684789
2,9,0.767555997
2,10,0.811730655
2,11,0.613752222
2,12,0.890992729
2,13,0.899993026
2,14,0.867424705
2,15,0.879584858
2,16,0.649689522
2,17,0.762772694
2,18,0.756813961
2,19,-0.205358781
2,20,-0.132137279
2,21,0.445077515
2,22,-0.319585834
2,23,-0.250660643
2,24,-0.196141576
3,1,0.647395092
3,2,0.734115568
3,4,0.559680791
3,5,0.73012649
3,6,0.697852883
3,7,0.802568358
3,8,0.770802718
3,9,0.613719629
3,10,0.746190233
3,11,0.638016802
3,12,0.77554629
3,13,0.763083115
3,14,0.827083219
3,15,0.822554991
3,16,0.527534702
3,17,0.621434863
3,18,0.646648749
3,19,-0.162985339
3,20,-0.110557159
3,21,0.339245521
3,22,-0.237629149
3,23,-0.185487047
3,24,-0.149444514
4,1,0.833904323
4,2,0.701470608
4,3,0.559680791
4,5,0.648714783
4,6,0.689569629
4,7,0.620428195
4,8,0.750373252
4,9,0.572093883
4,10,0.651618704
4,11,0.600630215
4,12,0.750734481
4,13,0.744126762
4,14,0.764335501
4,15,0.733296523
4,16,0.626458086
4,17,0.734113853
4,18,0.705359428
4,19,-0.213293179
4,20,-0.103614247
4,21,0.428264645
4,22,-0.318176314
4,23,-0.206857263
4,24,-0.175942905
5,1,0.759574816
5,2,0.839128891
5,3,0.73012649
5,4,0.648714783
5,6,0.758487924
5,7,0.738653391
5,8,0.863436956
5,9,0.78274506
5,10,0.772277473
5,11,0.54843511
5,12,0.846163798
5,13,0.89661993
5,14,0.90303856
5,15,0.822535843
5,16,0.611054147
5,17,0.729939689
5,18,0.695056577
5,19,-0.226071599
5,20,-0.137556188
5,21,0.390436997
5,22,-0.336584743
5,23,-0.264511521
5,24,-0.211888645
6,1,0.805884887
6,2,0.869519155
6,3,0.697852883
6,4,0.689569629
6,5,0.758487924
6,7,0.746422415
6,8,0.850341869
6,9,0.680359968
6,10,0.778606082
6,11,0.566768484
6,12,0.874485194
6,13,0.842772738
6,14,0.808921609
6,15,0.905218338
6,16,0.6747752
6,17,0.748983413
6,18,0.746085177
6,19,-0.220240938
6,20,-0.148984963
6,21,0.416019248
6,22,-0.327183326
6,23,-0.261086504
6,24,-0.204716246
7,1,0.704575227
7,2,0.774571121
7,3,0.802568358
7,4,0.620428195
7,5,0.738653391
7,6,0.746422415
7,8,0.783125792
7,9,0.590226776
7,10,0.723639058
7,11,0.603465295
7,12,0.823470371
7,13,0.771854418
7,14,0.819398011
7,15,0.840910729
7,16,0.548521924
7,17,0.683545379
7,18,0.679579264
7,19,-0.184707384
7,20,-0.099280118
7,21,0.39603373
7,22,-0.27902272
7,23,-0.192287743
7,24,-0.162696313
8,1,0.868178311
8,2,0.887684789
8,3,0.770802718
8,4,0.750373252
8,5,0.863436956
8,6,0.850341869
8,7,0.783125792
8,9,0.728656379
8,10,0.806397965
8,11,0.6125734
8,12,0.924599727
8,13,0.92974294
8,14,0.915655252
8,15,0.913250538
8,16,0.663006069
8,17,0.783773561
8,18,0.758070333
8,19,-0.233819679
8,20,-0.129198793
8,21,0.446995254
8,22,-0.352335057
8,23,-0.248694247
8,24,-0.202414298
9,1,0.70103992
9,2,0.767555997
9,3,0.613719629
9,4,0.572093883
9,5,0.78274506
9,6,0.680359968
9,7,0.590226776
9,8,0.728656379
9,10,0.6971319
9,11,0.630564204
9,12,0.743909951
9,13,0.808101263
