From,To,Length
1,2,0.382505176
1,3,0.404071774
1,4,0.310731539
1,5,0.402518979
1,6,0.318150449
1,7,0.301069703
1,8,0.296411318
1,10,0.291925466
1,11,0.212905452
1,12,0.258626639
1,13,0.22826087
1,14,0.19168392
1,15,0.135438233
1,16,0.234126984
1,17,0.246376812
1,18,0.232746722
1,19,0.254658385
1,20,0.219806763
1,21,0.282608696
1,22,0.28536922
1,23,0.248274672
1,24,0.26363009
1,25,0.23636991
1,26,0.201863354
1,27,0.181677019
1,28,0.208247067
1,29,0.235507246
1,30,0.162870945
1,31,0.209972395
1,32,0.192374051
1,33,0.229641132
1,34,0.254658385
1,35,0.223084886
1,36,0.229813665
1,37,0.263112491
1,38,0.237405107
1,39,0.276915114
1,40,0.220496894
1,41,0.212215321
1,42,0.205141477
1,43,0.17615597
1,44,0.183229814
1,45,0.166321601
1,46,0.171325052
1,47,0.178916494
1,48,0.167011732
1,49,0.114389234
1,50,0.121118012
1,51,0.140096618
2,1,0.382505176
2,3,0.616804693
2,4,0.395962733
2,5,0.346963423
2,6,0.309178744
2,7,0.333505866
2,8,0.32073844
2,10,0.310731539
2,11,0.216701173
2,12,0.278985507
2,13,0.259661836
2,14,0.202380952
2,15,0.162180814
2,16,0.270186335
2,17,0.264147688
2,18,0.263457557
2,19,0.267770876
2,20,0.244478951
2,21,0.288992409
2,22,0.298826777
2,23,0.299689441
2,24,0.291235335
2,25,0.275189786
2,26,0.228433402
2,27,0.192374051
2,28,0.237232574
2,29,0.229813665
2,30,0.194616977
2,31,0.240338164
2,32,0.235162181
2,33,0.248619738
2,34,0.287439614
2,35,0.252933057
2,36,0.267770876
2,37,0.304520359
2,38,0.291752933
2,39,0.305900621
2,40,0.259144237
2,41,0.225845411
2,42,0.224465148
2,43,0.193581781
2,44,0.198240166
2,45,0.179951691
2,46,0.202898551
2,47,0.215148378
2,48,0.212905452
2,49,0.123188406
2,50,0.134748102
2,51,0.148033126
3,1,0.404071774
3,2,0.616804693
3,4,0.370255349
3,5,0.357660455
3,6,0.301759834
3,7,0.324361629
3,8,0.310041408
3,10,0.305383023
3,11,0.216183575
3,12,0.271221532
3,13,0.243616287
3,14,0.20721187
3,15,0.155279503
3,16,0.2605245
3,17,0.263285024
3,18,0.252933057
3,19,0.27294686
3,20,0.23757764
3,21,0.281918565
3,22,0.289510007
3,23,0.292443064
3,24,0.28847481
3,25,0.262767426
3,26,0.215320911
3,27,0.189613527
3,28,0.222912353
3,29,0.232746722
3,30,0.177536232
3,31,0.229468599
3,32,0.227398206
3,33,0.258971705
3,34,0.27484472
3,35,0.241200828
3,36,0.241200828
3,37,0.277777778
3,38,0.267598344
3,39,0.287439614
3,40,0.242408558
3,41,0.217046239
3,42,0.212905452
3,43,0.186162871
3,44,0.19047619
3,45,0.168219462
3,46,0.189095928
3,47,0.209109731
3,48,0.189268461
3,49,0.136818496
3,50,0.141649413
3,51,0.139406487
4,1,0.310731539
4,2,0.395962733
4,3,0.370255349
4,5,0.383712905
4,6,0.362491373
4,7,0.387681159
4,8,0.383885438
4,10,0.379572119
4,11,0.272774327
4,12,0.351794341
4,13,0.319530711
4,14,0.258626639
4,15,0.194962043
4,16,0.304520359
4,17,0.336266391
4,18,0.302795031
4,19,0.346100759
4,20,0.297101449
4,21,0.364216701
4,22,0.356797792
4,23,0.349551415
4,24,0.355072464
4,25,0.33436853
4,26,0.271566598
4,27,0.260006901
4,28,0.259834369
4,29,0.223429952
4,30,0.211180124
4,31,0.245859213
4,32,0.267425811
4,33,0.285541753
4,34,0.320220842
4,35,0.284161491
4,36,0.321083506
4,37,0.362318841
4,38,0.324189096
4,39,0.333160801
4,40,0.311766736
4,41,0.276570048
4,42,0.281055901
4,43,0.259144237
4,44,0.248102139
4,45,0.233954451
4,46,0.247412008
4,47,0.264665286
4,48,0.217046239
4,49,0.174430642
4,50,0.183402346
4,51,0.176673568
5,1,0.402518979
5,2,0.346963423
5,3,0.357660455
5,4,0.383712905
5,6,0.482574189
5,7,0.397515528
5,8,0.38957902
5,10,0.377846791
5,11,0.287784679
5,12,0.316080055
5,13,0.266563147
5,14,0.237060041
5,15,0.166321601
5,16,0.296928916
5,17,0.325569358
5,18,0.282091097
5,19,0.32073844
5,20,0.30521049
5,21,0.409592823
5,22,0.412180814
5,23,0.332470669
5,24,0.354727398
5,25,0.345410628
5,26,0.320048309
5,27,0.299861974
5,28,0.294340925
5,29,0.251725328
5,30,0.23636991
5,31,0.281055901
5,32,0.250345066
5,33,0.317805383
5,34,0.334541063
5,35,0.278467909
5,36,0.306935818
5,37,0.345065562
5,38,0.304865424
5,39,0.343857833
5,40,0.306763285
5,41,0.272084196
5,42,0.267425811
5,43,0.243616287
5,44,0.235507246
5,45,0.214113182
5,46,0.234989648
5,47,0.235162181
5,48,0.213768116
5,49,0.173395445
5,50,0.170979986
5,51,0.163043478
6,1,0.318150449
6,2,0.309178744
6,3,0.301759834
6,4,0.362491373
6,5,0.482574189
6,7,0.42184265
6,8,0.424085576
6,10,0.366287095
6,11,0.280365769
6,12,0.347481021
6,13,0.289855072
6,14,0.25
6,15,0.206521739
6,16,0.324189096
6,17,0.330917874
6,18,0.32194617
6,19,0.318495514
6,20,0.306763285
6,21,0.371980676
6,22,0.371635611
6,23,0.306590752
6,24,0.325224293
6,25,0.312284334
6,26,0.273809524
6,27,0.269151139
6,28,0.274672188
6,29,0.221532091
6,30,0.24258109
6,31,0.296411318
6,32,0.278812974
6,33,0.310731539
6,34,0.350241546
6,35,0.320048309
6,36,0.292443064
6,37,0.325741891
6,38,0.296583851
6,39,0.322463768
6,40,0.273809524
6,41,0.271911663
6,42,0.281918565
6,43,0.230676329
6,44,0.251552795
6,45,0.237232574
6,46,0.244824017
6,47,0.27915804
6,48,0.242753623
6,49,0.188233264
6,50,0.197204969
6,51,0.203071084
7,1,0.301069703
7,2,0.333505866
7,3,0.324361629
7,4,0.387681159
7,5,0.397515528
7,6,0.42184265
7,8,0.737232574
7,10,0.410628019
7,11,0.289164941
7,12,0.336783989
7,13,0.294858523
7,14,0.275534852
7,15,0.234126984
7,16,0.350241546
7,17,0.337991718
7,18,0.354554865
7,19,0.316942719
7,20,0.329020014
7,21,0.349551415
7,22,0.364216701
7,23,0.308833678
7,24,0.308833678
7,25,0.309868875
7,26,0.29589372
7,27,0.242236025
7,28,0.287784679
7,29,0.244651484
7,30,0.241718427
7,31,0.339889579
7,32,0.331608006
7,33,0.368357488
7,34,0.384403037
7,35,0.364044168
7,36,0.303485162
7,37,0.339717046
7,38,0.297273982
7,39,0.330572809
7,40,0.285541753
7,41,0.288992409
7,42,0.274154589
7,43,0.241373361
7,44,0.258454106
7,45,0.242926156
7,46,0.27173913
7,47,0.289337474
7,48,0.289510007
7,49,0.225327812
7,50,0.228778468
7,51,0.246204279
8,1,0.296411318
8,2,0.32073844
8,3,0.310041408
8,4,0.383885438
8,5,0.38957902
8,6,0.424085576
8,7,0.737232574
8,10,0.407694962
8,11,0.294168392
8,12,0.342132505
8,13,0.302277433
8,14,0.276224983
8,15,0.236887509
8,16,0.349206349
8,17,0.336611456
8,18,0.353692202
