From,To,Length
1,2,0.628174395
1,3,0.790210662
1,4,0.692681327
1,5,0.735225859
1,6,0.733960084
1,7,0.766406324
1,8,0.642963321
1,9,0.610535016
1,10,0.532633598
1,11,0.722487473
2,1,0.628174395
2,3,0.588998141
2,4,0.556330668
2,5,0.610098138
2,6,0.605756071
2,7,0.607264513
2,8,0.619265679
2,9,0.625950863
2,10,0.592492557
2,11,0.540639435
3,1,0.790210662
3,2,0.588998141
3,4,0.731969167
3,5,0.707581337
3,6,0.762934984
3,7,0.772638312
3,8,0.688303958
3,9,0.581310061
3,10,0.584028618
3,11,0.724309016
4,1,0.692681327
4,2,0.556330668
4,3,0.731969167
4,5,0.769479712
4,6,0.862478012
4,7,0.843680141
4,8,0.793740363
4,9,0.669110086
4,10,0.657223811
4,11,0.748940875
5,1,0.735225859
5,2,0.610098138
5,3,0.707581337
5,4,0.769479712
5,6,0.802080702
5,7,0.794857239
5,8,0.720176866
5,9,0.686819978
5,10,0.624762065
5,11,0.76542064
6,1,0.733960084
6,2,0.605756071
6,3,0.762934984
6,4,0.862478012
6,5,0.802080702
6,7,0.885385141
6,8,0.817403659
6,9,0.762230671
6,10,0.669304495
6,11,0.836489057
7,1,0.766406324
7,2,0.607264513
7,3,0.772638312
7,4,0.843680141
7,5,0.794857239
7,6,0.885385141
7,8,0.863813806
7,9,0.723579653
7,10,0.72226945
7,11,0.856778646
8,1,0.642963321
8,2,0.619265679
8,3,0.688303958
8,4,0.793740363
8,5,0.720176866
8,6,0.817403659
8,7,0.863813806
8,9,0.689364332
8,10,0.81493236
8,11,0.748599148
9,1,0.610535016
9,2,0.625950863
9,3,0.581310061
9,4,0.669110086
9,5,0.686819978
9,6,0.762230671
9,7,0.723579653
9,8,0.689364332
9,10,0.551101741
9,11,0.779944778
10,1,0.532633598
10,2,0.592492557
10,3,0.584028618
10,4,0.657223811
10,5,0.624762065
10,6,0.669304495
10,7,0.72226945
10,8,0.81493236
10,9,0.551101741
10,11,0.61751657
11,1,0.722487473
11,2,0.540639435
11,3,0.724309016
11,4,0.748940875
11,5,0.76542064
11,6,0.836489057
11,7,0.856778646
11,8,0.748599148
11,9,0.779944778
11,10,0.61751657
